feature,importance,run_folder,run_id,direction,direction_label,model,model_label,include_review_features,feature_count,variant
source_to_destination_packets,0.0597542970339263,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
service,0.0377088786612888,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
protocol,0.0198591040679451,outputs_2,R2,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,False,9,Accepted 9-feature subset
flow_duration,0.40942717,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
protocol,0.28640518,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_packets,0.2588236,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.021745654,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_packets,0.016192093,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.00740629,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
service,0.0,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.0,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.0,outputs_3,R3,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.3536308,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
flow_duration,0.12965101,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.124314874,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.09803705,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
service,0.08562259,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.083254255,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
protocol,0.05217554,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_packets,0.0431745,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_packets,0.03013935,outputs_3,R3,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
flow_duration,0.4569154951870443,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
source_to_destination_packets,0.4190958998001559,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
protocol,0.0908133198944933,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
connection_state,0.0211924485002351,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
destination_to_source_packets,0.0045370627098372,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
source_mean_bytes_per_packet,0.0037342453278338,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
source_to_destination_bytes,0.0033226190411477,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
destination_to_source_bytes,0.0001692896094696,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
destination_mean_bytes_per_packet,0.0001327476852301,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
service,8.687224455271447e-05,outputs_4,R4,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,rf,Random Forest,True,10,Accepted subset + connection_state
destination_mean_bytes_per_packet,0.1666989405933796,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
flow_duration,0.1464675085176587,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
destination_to_source_bytes,0.142593308747125,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
source_to_destination_bytes,0.1407564280591501,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
source_mean_bytes_per_packet,0.1273309694381885,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
destination_to_source_packets,0.0957591946162392,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
connection_state,0.060444757225679,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
source_to_destination_packets,0.0569180665783207,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
service,0.0363565809372676,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
protocol,0.0266742452869912,outputs_4,R4,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,rf,Random Forest,True,10,Accepted subset + connection_state
flow_duration,0.38358662,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_packets,0.28649282,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
protocol,0.2510292,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.023712268,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.016655758,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.014853712,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_packets,0.014132838,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
service,0.009536839,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.0,outputs_5,R5,iot23_train_to_unsw_test,IoT-23 -> UNSW-NB15,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_mean_bytes_per_packet,0.36802927,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
flow_duration,0.13692263,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_bytes,0.12188616,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
source_mean_bytes_per_packet,0.093627684,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_bytes,0.080868855,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
service,0.0766696,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
protocol,0.05513631,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
source_to_destination_packets,0.03596042,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
destination_to_source_packets,0.030899033,outputs_5,R5,unsw_train_to_iot23_test,UNSW-NB15 -> IoT-23,xgb,XGBoost,False,9,Accepted 9-feature subset
